Error,Step,Solution,Time
1.000000E-04,5110,29,250
1.000000E-04,5120,29,251
1.000000E-04,5130,29,253
1.000000E-04,5140,29,252
1.000000E-04,5150,29,245
1.000000E-04,5160,29,248
1.000000E-04,5170,29,240
1.000000E-04,5180,29,240
1.000000E-04,5190,29,241
1.000000E-04,5200,29,241
1.000000E-04,5210,29,257
1.000000E-04,5220,29,242
1.000000E-04,5230,29,254
1.000000E-04,5240,29,255
1.000000E-04,5250,29,256
1.000000E-04,5260,29,257
1.000000E-04,5270,29,247
1.000000E-04,5280,29,240
1.000000E-04,5290,29,240
1.000000E-04,5300,29,256
1.000000E-04,5310,29,246
1.000000E-04,5320,29,264
1.000000E-04,5330,29,248
1.000000E-04,5340,29,253
1.000000E-04,5350,29,253
1.000000E-04,5360,29,252
1.000000E-04,5370,29,249
1.000000E-04,5380,29,255
1.000000E-04,5390,29,251
1.000000E-04,5400,29,254
1.000000E-04,5410,29,252
1.000000E-04,5420,29,256
1.000000E-04,5430,29,258
1.000000E-04,5440,29,262
1.000000E-04,5450,29,253
1.000000E-04,5460,29,254
1.000000E-04,5470,29,258
1.000000E-04,5480,29,255
1.000000E-04,5490,29,258
1.000000E-04,5500,29,261
1.000000E-04,5510,29,256
1.000000E-04,5520,29,257
1.000000E-04,5530,29,257
1.000000E-04,5540,29,261
1.000000E-04,5550,29,258
1.000000E-04,5560,29,269
1.000000E-04,5570,29,259
1.000000E-04,5580,29,267
1.000000E-04,5590,29,260
1.000000E-04,5600,29,260
1.000000E-04,5610,29,261
1.000000E-04,5620,29,264
1.000000E-04,5630,29,261
1.000000E-04,5640,29,262
1.000000E-04,5650,29,268
1.000000E-04,5660,29,263
1.000000E-04,5670,29,264
1.000000E-04,5680,29,268
1.000000E-04,5690,29,264
1.000000E-04,5700,29,265
1.000000E-04,5710,29,266
1.000000E-04,5720,29,266
1.000000E-04,5730,29,266
1.000000E-04,5740,29,280
1.000000E-04,5750,29,267
1.000000E-04,5760,29,268
1.000000E-04,5770,29,269
1.000000E-04,5780,29,269
1.000000E-04,5790,29,269
1.000000E-04,5800,29,269
1.000000E-04,5810,29,273
1.000000E-04,5820,29,275
1.000000E-04,5830,29,272
1.000000E-04,5840,29,271
1.000000E-04,5850,29,276
1.000000E-04,5860,29,272
1.000000E-04,5870,29,278
1.000000E-04,5880,29,273
1.000000E-04,5890,29,277
1.000000E-04,5900,29,273
1.000000E-04,5910,29,274
1.000000E-04,5920,29,274
1.000000E-04,5930,29,284
1.000000E-04,5940,29,275
1.000000E-04,5950,29,276
1.000000E-04,5960,29,277
1.000000E-04,5970,29,281
1.000000E-04,5980,29,277
1.000000E-04,5990,29,282
1.000000E-04,6000,29,278
1.000000E-04,6010,29,279
1.000000E-04,6020,29,279
1.000000E-04,6030,29,285
1.000000E-04,6040,29,278
1.000000E-04,6050,29,294
1.000000E-04,6060,29,281
1.000000E-04,6070,29,282
1.000000E-04,6080,29,297
1.000000E-04,6090,29,282
1.000000E-04,6100,29,285
1.000000E-04,6110,29,283
1.000000E-04,6120,29,283
1.000000E-04,6130,29,285
1.000000E-04,6140,29,284
1.000000E-04,6150,29,286
1.000000E-04,6160,29,289
1.000000E-04,6170,29,287
1.000000E-04,6180,29,292
1.000000E-04,6190,29,299
1.000000E-04,6200,29,293
1.000000E-04,6210,29,299
1.000000E-04,6220,29,293
1.000000E-04,6230,29,289
1.000000E-04,6240,29,290
1.000000E-04,6250,29,291
1.000000E-04,6260,29,290
1.000000E-04,6270,29,291
1.000000E-04,6280,29,295
1.000000E-04,6290,29,292
1.000000E-04,6300,29,293
1.000000E-04,6310,29,293
1.000000E-04,6320,29,294
1.000000E-04,6330,29,297
1.000000E-04,6340,29,294
1.000000E-04,6350,29,295
1.000000E-04,6360,29,296
1.000000E-04,6370,29,296
1.000000E-04,6380,29,296
1.000000E-04,6390,29,301
1.000000E-04,6400,29,297
1.000000E-04,6410,29,298
1.000000E-04,6420,29,299
1.000000E-04,6430,29,298
1.000000E-04,6440,29,302
1.000000E-04,6450,29,293
1.000000E-04,6460,29,294
1.000000E-04,6470,29,294
1.000000E-04,6480,29,295
1.000000E-04,6490,29,295
1.000000E-04,6500,29,310
1.000000E-04,6510,29,308
1.000000E-04,6520,29,303
1.000000E-04,6530,29,304
1.000000E-04,6540,29,300
1.000000E-04,6550,29,304
1.000000E-04,6560,29,303
1.000000E-04,6570,29,298
1.000000E-04,6580,29,311
1.000000E-04,6590,29,306
1.000000E-04,6600,29,306
1.000000E-04,6610,29,310
1.000000E-04,6620,29,307
1.000000E-04,6630,29,314
1.000000E-04,6640,29,309
1.000000E-04,6650,29,308
1.000000E-04,6660,29,312
1.000000E-04,6670,29,314
1.000000E-04,6680,29,313
1.000000E-04,6690,29,316
1.000000E-04,6700,29,311
1.000000E-04,6710,29,311
1.000000E-04,6720,29,318
1.000000E-04,6730,29,312
1.000000E-04,6740,29,313
1.000000E-04,6750,29,313
1.000000E-04,6760,29,314
1.000000E-04,6770,29,317
1.000000E-04,6780,29,315
1.000000E-04,6790,29,316
1.000000E-04,6800,29,321
1.000000E-04,6810,29,316
1.000000E-04,6820,29,321
1.000000E-04,6830,29,320
1.000000E-04,6840,29,336
1.000000E-04,6850,29,333
1.000000E-04,6860,29,335
1.000000E-04,6870,29,337
1.000000E-04,6880,29,336
1.000000E-04,6890,29,349
1.000000E-04,6900,29,336
1.000000E-04,6910,29,329
1.000000E-04,6920,29,330
1.000000E-04,6930,29,334
1.000000E-04,6940,29,332
1.000000E-04,6950,29,338
1.000000E-04,6960,29,341
1.000000E-04,6970,29,336
1.000000E-04,6980,29,339
1.000000E-04,6990,29,341
1.000000E-04,7000,29,342
1.000000E-04,7010,29,341
1.000000E-04,7020,29,342
1.000000E-04,7030,29,335
1.000000E-04,7040,29,333
1.000000E-04,7050,29,344
1.000000E-04,7060,29,344
1.000000E-04,7070,29,346
1.000000E-04,7080,29,348
1.000000E-04,7090,29,341
1.000000E-04,7100,29,346
1.000000E-04,7110,29,346
1.000000E-04,7120,29,340
1.000000E-04,7130,29,331
1.000000E-04,7140,29,340
1.000000E-04,7150,29,336
1.000000E-04,7160,29,338
1.000000E-04,7170,29,336
1.000000E-04,7180,29,333
1.000000E-04,7190,29,340
1.000000E-04,7200,29,337
1.000000E-04,7210,29,334
1.000000E-04,7220,29,338
1.000000E-04,7230,29,335
1.000000E-04,7240,29,339
1.000000E-04,7250,29,343
1.000000E-04,7260,29,340
1.000000E-04,7270,29,337
1.000000E-04,7280,29,338
1.000000E-04,7290,29,342
1.000000E-04,7300,29,343
1.000000E-04,7310,29,342
1.000000E-04,7320,29,340
1.000000E-04,7330,29,340
1.000000E-04,7340,29,346
1.000000E-04,7350,29,345
1.000000E-04,7360,29,344
1.000000E-04,7370,29,342
1.000000E-04,7380,29,345
1.000000E-04,7390,29,343
1.000000E-04,7400,29,349
1.000000E-04,7410,29,343
1.000000E-04,7420,29,337
1.000000E-04,7430,29,348
1.000000E-04,7440,29,344
1.000000E-04,7450,29,350
1.000000E-04,7460,29,349
1.000000E-04,7470,29,348
1.000000E-04,7480,29,348
1.000000E-04,7490,29,346
1.000000E-04,7500,29,351
1.000000E-04,7510,29,349
1.000000E-04,7520,29,350
1.000000E-04,7530,29,350
1.000000E-04,7540,29,352
1.000000E-04,7550,29,351
1.000000E-04,7560,29,349
1.000000E-04,7570,29,355
1.000000E-04,7580,29,354
1.000000E-04,7590,29,354
1.000000E-04,7600,29,360
1.000000E-04,7610,29,351
1.000000E-04,7620,29,355
1.000000E-04,7630,29,352
